month,total number of job postings,company
15-Jul,131,the.bank.of.new.york.mellon
15-Aug,262,the.bank.of.new.york.mellon
15-Sep,164,the.bank.of.new.york.mellon
15-Oct,155,the.bank.of.new.york.mellon
15-Nov,134,the.bank.of.new.york.mellon
15-Dec,205,the.bank.of.new.york.mellon
16-Jan,82,the.bank.of.new.york.mellon
16-Feb,132,the.bank.of.new.york.mellon
16-Mar,236,the.bank.of.new.york.mellon
16-Apr,206,the.bank.of.new.york.mellon
16-May,132,the.bank.of.new.york.mellon
16-Jun,260,the.bank.of.new.york.mellon
12-Jan,22,ubs
12-Feb,13,ubs
12-Mar,23,ubs
12-Apr,18,ubs
12-May,14,ubs
12-Jun,11,ubs
12-Jul,21,ubs
12-Aug,11,ubs
12-Sep,6,ubs
12-Oct,15,ubs
12-Nov,8,ubs
12-Dec,8,ubs
13-Jan,21,ubs
13-Feb,19,ubs
13-Mar,18,ubs
13-Apr,44,ubs
13-May,33,ubs
13-Jun,55,ubs
13-Jul,19,ubs
13-Aug,16,ubs
13-Sep,21,ubs
13-Oct,28,ubs
13-Nov,23,ubs
13-Dec,22,ubs
14-Jan,21,ubs
14-Feb,27,ubs
14-Mar,114,ubs
14-Apr,68,ubs
14-May,49,ubs
14-Jun,57,ubs
14-Jul,39,ubs
14-Aug,41,ubs
14-Sep,54,ubs
14-Oct,53,ubs
14-Dec,6,ubs
15-Jan,67,ubs
15-Feb,32,ubs
15-Mar,57,ubs
15-Apr,42,ubs
15-May,35,ubs
15-Jun,46,ubs
15-Jul,56,ubs
15-Aug,21,ubs
15-Sep,51,ubs
15-Oct,43,ubs
15-Nov,39,ubs
15-Dec,40,ubs
16-Jan,21,ubs
16-Feb,28,ubs
16-Mar,19,ubs
16-Apr,9,ubs
16-May,62,ubs
16-Jun,17,ubs
